accession	genome	experiment_type	num_reads
SRX1388773	ce11	Histone	6497093
SRX1388774	ce11	Histone	3261040
SRX1388775	ce11	Histone	2257065
SRX1388776	ce11	Histone	3633709
SRX1388777	ce11	Histone	6335686
SRX1388778	ce11	Histone	7341639
SRX1388779	ce11	Histone	6755648
SRX146415	ce11	TFs and others	1834890
SRX146416	ce11	TFs and others	5042449
SRX146419	ce11	TFs and others	4285635
SRX146420	ce11	TFs and others	5303031
SRX146423	ce11	TFs and others	3273507
SRX146424	ce11	TFs and others	4285296
SRX146460	ce11	TFs and others	4285635
SRX146461	ce11	TFs and others	5303031
SRX146464	ce11	TFs and others	2341051
SRX146465	ce11	TFs and others	6303653
SRX146468	ce11	TFs and others	3174139
SRX146469	ce11	TFs and others	5185898
SRX146489	ce11	TFs and others	3730166
SRX146490	ce11	TFs and others	5700331
SRX146500	ce11	TFs and others	5078643
SRX146501	ce11	TFs and others	4816763
SRX146504	ce11	TFs and others	5650319
SRX146505	ce11	TFs and others	3071171
SRX146506	ce11	TFs and others	3783726
SRX146507	ce11	TFs and others	3189324
SRX146512	ce11	TFs and others	4723194
SRX146513	ce11	TFs and others	5605041
SRX146516	ce11	TFs and others	4080576
SRX146517	ce11	TFs and others	2598529
SRX146520	ce11	TFs and others	5908241
SRX146521	ce11	TFs and others	6376741
SRX147613	ce11	TFs and others	4718103
SRX147614	ce11	TFs and others	3450416
SRX147617	ce11	TFs and others	5170353
SRX147618	ce11	TFs and others	5324899
SRX147621	ce11	TFs and others	4893961
SRX147622	ce11	TFs and others	5197141
SRX147625	ce11	TFs and others	3323286
SRX147626	ce11	TFs and others	5175048
SRX147629	ce11	TFs and others	8275721
SRX147630	ce11	TFs and others	6036969
SRX147633	ce11	TFs and others	7153813
SRX147634	ce11	TFs and others	8800954
SRX147637	ce11	TFs and others	5025604
SRX147638	ce11	TFs and others	4358445
SRX147641	ce11	TFs and others	7461455
SRX147642	ce11	TFs and others	6026182
SRX147645	ce11	TFs and others	6410115
SRX147646	ce11	TFs and others	5672599
SRX148637	ce11	Histone	15301248
SRX148638	ce11	Histone	9883662
SRX148639	ce11	Histone	14860990
SRX151402	ce11	TFs and others	6620262
SRX151403	ce11	TFs and others	5821931
SRX151406	ce11	TFs and others	8913638
SRX151407	ce11	TFs and others	4892808
SRX15407768	ce11	TFs and others	9758566
SRX15407769	ce11	TFs and others	11193660
SRX15407770	ce11	TFs and others	11771068
SRX15407771	ce11	TFs and others	10957458
SRX15407772	ce11	TFs and others	31442701
SRX15407773	ce11	TFs and others	29489415
SRX15407774	ce11	TFs and others	31369868
SRX15407775	ce11	TFs and others	11737620
SRX15407776	ce11	TFs and others	18679526
SRX15407777	ce11	TFs and others	20540584
SRX15407778	ce11	TFs and others	20407605
SRX15407779	ce11	TFs and others	19314090
SRX15407780	ce11	TFs and others	16524259
SRX15407781	ce11	TFs and others	19171822
SRX15625451	ce11	TFs and others	372219041
SRX15887167	ce11	TFs and others	41359758
SRX15887168	ce11	TFs and others	22188057
SRX15887169	ce11	TFs and others	23556759
SRX15887170	ce11	TFs and others	35799607
SRX15887172	ce11	TFs and others	12931999
SRX15887173	ce11	TFs and others	26032717
SRX15887175	ce11	TFs and others	19274405
SRX15887176	ce11	TFs and others	16652358
SRX15887178	ce11	TFs and others	12727087
SRX15887179	ce11	TFs and others	42920540
SRX15887181	ce11	TFs and others	15240550
SRX15887182	ce11	TFs and others	9752445
SRX15887187	ce11	TFs and others	23011225
SRX15887188	ce11	TFs and others	11520084
SRX15887191	ce11	TFs and others	13755672
SRX15887194	ce11	TFs and others	10514863
SRX15887195	ce11	TFs and others	30237542
SRX15887197	ce11	TFs and others	22496276
SRX15887198	ce11	TFs and others	9243704
SRX15887200	ce11	TFs and others	11513557
SRX15887201	ce11	TFs and others	12305094
SRX15887204	ce11	TFs and others	14915841
SRX15887205	ce11	TFs and others	12212805
SRX15887206	ce11	TFs and others	15171167
SRX15887210	ce11	TFs and others	17327293
SRX15887211	ce11	TFs and others	22013041
SRX15887215	ce11	TFs and others	14135831
SRX15887216	ce11	TFs and others	19485839
SRX15887217	ce11	TFs and others	15058684
SRX15887221	ce11	TFs and others	18101822
SRX15887222	ce11	TFs and others	8234750
SRX15887227	ce11	TFs and others	3543318
SRX15887228	ce11	TFs and others	17744254
SRX15887231	ce11	TFs and others	10134276
SRX1674090	ce11	RNA polymerase	50879695
SRX1674093	ce11	RNA polymerase	103005862
SRX1674094	ce11	RNA polymerase	56496066
SRX1674098	ce11	RNA polymerase	100922140
SRX1674099	ce11	RNA polymerase	104108339
SRX1674100	ce11	RNA polymerase	57625311
SRX1674101	ce11	RNA polymerase	58288493
SRX1674102	ce11	Histone	36972865
SRX17187270	ce11	ATAC-Seq	26857339
SRX17187271	ce11	ATAC-Seq	37059032
SRX17187274	ce11	ATAC-Seq	51345758
SRX17187275	ce11	ATAC-Seq	18992890
SRX17187279	ce11	ATAC-Seq	44597260
SRX17187281	ce11	ATAC-Seq	25121166
SRX17187287	ce11	ATAC-Seq	50491908
SRX17187289	ce11	ATAC-Seq	24864294
SRX17187292	ce11	ATAC-Seq	18555740
SRX17187294	ce11	ATAC-Seq	23392419
SRX17187296	ce11	ATAC-Seq	13526778
SRX172525	ce11	Histone	15886021
SRX172526	ce11	Histone	32252152
SRX172527	ce11	Histone	23992486
SRX17392620	ce11	Histone	35516656
SRX17392621	ce11	Histone	51727448
SRX17392622	ce11	Histone	47195563
SRX17392623	ce11	Histone	46827749
